,n_estimators,criterion,f1_mean_score,f1_std_score,mean_time
0,300,entropy,0.8042009125671663,0.03339473232289607,1.3697612532253922
1,100,entropy,0.803638740386256,0.03252030821254892,0.46281573690217115
2,300,gini,0.8028239581831076,0.03220902359033005,1.1664346004354542
3,200,entropy,0.802697507409763,0.04931192142812425,0.9209146910700304
4,300,log_loss,0.802583700342987,0.037473656026452085,1.3689205728728195
5,200,entropy,0.80191410206531,0.03305937997645831,0.9063204321367987
6,200,entropy,0.8017764800991644,0.0465393918570765,0.9085869706910232
7,300,entropy,0.8008589567626312,0.03766745797832098,1.3778189708446633
8,100,log_loss,0.8007609239873332,0.0374356634578203,0.45926286434305125
9,300,log_loss,0.8003684820489122,0.03915233974066896,1.4182818429223423
10,300,log_loss,0.7986248887623375,0.04057310570776719,1.3661056469226707
11,50,log_loss,0.7982430229018491,0.03305965027071936,0.22541871564141636
12,100,gini,0.7977976004768671,0.04104308507010933,0.39264614828701677
13,50,log_loss,0.7948747295536568,0.0383917414543692,0.22977102213892445
14,50,gini,0.7942387495378889,0.036600309068974525,0.1955248158553551
